Name,Positions,Age,OVA,Potential,Team,Contract,Value,Wage,Total
J. Tartt,ST,24,84,91,AFC Richmond,2020 ~ 2025,€85.5M,€1K,2073
B. Šeško,ST,19,72,85,FC Red Bull Salzburg,2021 ~ 2026,€5.5M,€13K,1810
Diogo Dalot,RB,23,78,84,Manchester United,2018 ~ 2023,€21M,€78K,2036
A. Mitrović,ST,27,78,79,Fulham,2018 ~ 2024,€16.5M,€63K,1818
Rafael Leão,LW,23,84,90,AC Milan,2019 ~ 2024,€66.5M,€90K,1971
K. Kvaratskhelia,LW,21,74,84,Napoli,2022 ~ 2027,€9.5M,€33K,1873
Gavi,CM,17,79,89,FC Barcelona,2020 ~ 2023,€36M,€17K,2010
P. Schick,ST,26,85,87,Bayer 04 Leverkusen,2020 ~ 2027,€67.5M,€95K,1999
D. Rojas,ST,26,82,85,AFC Richmond,2019 ~ 2024,€40.5M,€1K,2033
Nico Williams,RM,19,74,86,Athletic Club de Bilbao,2020 ~ 2024,€10M,€13K,1800
Cristiano Ronaldo,ST,37,90,90,Manchester United,2021 ~ 2023,€41M,€220K,2159
S. Obisanya,RM,22,81,88,AFC Richmond,2019 ~ 2026,€52.5M,€1K,2176
Moleiro,LM,18,73,88,Unión Deportiva Las Palmas,2021 ~ 2026,€7M,€3K,1831
Pedri,CM,19,85,93,FC Barcelona,2020 ~ 2026,€116M,€115K,2109
J. Musiala,CM,19,81,90,FC Bayern München,2020 ~ 2026,€55.5M,€39K,2010
E. Haaland,ST,21,88,94,Manchester City,2022 ~ 2027,€148M,€220K,2120
J. Bellingham,CM,19,84,91,Borussia Dortmund,2020 ~ 2025,€81.5M,€41K,2182
A. Tchouaméni,CM,22,82,89,Real Madrid CF,2022 ~ 2028,€61.5M,€145K,2142
Vitinha,CM,22,79,89,Paris Saint-Germain,2022 ~ 2027,€39.5M,€68K,2007
L. Messi,RW,35,91,91,Paris Saint-Germain,2021 ~ 2023,€54M,€195K,2190
D. Núñez,ST,23,82,89,Liverpool,2022 ~ 2028,€61.5M,€120K,2063
Y. Moukoko,ST,17,69,88,Borussia Dortmund,2020 ~ 2023,€3.5M,€4K,1733
X. Simons,CAM,19,73,86,PSV,2022 ~ 2027,€7M,€8K,1903
R. Kent,CDM,40,83,83,AFC Richmond,2018 ~ 2024,€0,€800,2114
Vinícius Jr.,LW,21,86,92,Real Madrid CF,2018 ~ 2025,€109M,€200K,1985
J. Frimpong,RB,21,80,86,Bayer 04 Leverkusen,2021 ~ 2025,€31.5M,€38K,2027
J. Gvardiol,CB,20,81,89,RB Leipzig,2021 ~ 2026,€53M,€41K,2037
J. Álvarez,ST,22,78,86,Manchester City,2022 ~ 2027,€32M,€100K,2122
C. De Ketelaere,ST,21,78,88,AC Milan,2022 ~ 2027,€32M,€49K,2067
N. Schlotterbeck,CB,22,82,88,Borussia Dortmund,2022 ~ 2027,€44.5M,€47K,1975
J. Timber,CB,21,80,88,Ajax,2019 ~ 2024,€44.5M,€14K,1950
I. Touré,CB,19,67,83,Olympique de Marseille,2022 ~ 2027,€2.5M,€6K,1515
C. Gakpo,LW,23,83,87,PSV,2016 ~ 2026,€52M,€29K,2057
C. Nkunku,CF,24,86,89,RB Leipzig,2019 ~ 2024,€94M,€90K,2196
F. Tomori,CB,24,84,90,AC Milan,2021 ~ 2025,€60.5M,€75K,1875
L. Martínez,CB,24,81,86,Manchester United,2022 ~ 2027,€35M,€95K,2119
N. Lang,LW,23,78,85,Club Brugge KV,2021 ~ 2025,€28M,€27K,2017
D. Vlahović,ST,22,84,91,Juventus,2022 ~ 2026,€86.5M,€140K,1912
Antony,RW,22,82,88,Ajax,2020 ~ 2025,€49M,€24K,2010
F. Valverde,CM,23,84,90,Real Madrid CF,2016 ~ 2027,€66M,€175K,2188
E. Fernández,CM,21,78,87,SL Benfica,2022 ~ 2027,€31.5M,€12K,2133
Yeremy Pino,RM,19,79,87,Villarreal CF,2020 ~ 2027,€38M,€21K,1828
J. Bynoe-Gittens,LM,17,67,87,Borussia Dortmund,2022 ~ 2026,€2.8M,€2K,1586
N. Mbamba,CB,17,64,84,Club Brugge KV,2021 ~ 2023,€1.5M,€500,1546
F. Miretti,CM,18,70,85,Juventus,2021 ~ 2026,€3.7M,€15K,1838
S. Giménez,ST,21,75,84,Feyenoord,2022 ~ 2026,€12.5M,€9K,1958
K. Mbappé,ST,23,91,95,Paris Saint-Germain,2018 ~ 2025,€190.5M,€230K,2177
K. Adeyemi,ST,20,75,87,Borussia Dortmund,2022 ~ 2027,€13.5M,€31K,1900
Gabriel Jesus,ST,25,83,86,Arsenal,2022 ~ 2027,€48.5M,€115K,2078
P. Hincapié,LB,20,78,85,Bayer 04 Leverkusen,2021 ~ 2026,€26.5M,€33K,1842
R. Araujo,CB,23,83,89,FC Barcelona,2018 ~ 2026,€52M,€135K,1905
Palhinha,CDM,26,81,83,Fulham,2022 ~ 2027,€28.5M,€66K,2026
V. Osimhen,ST,23,83,89,Napoli,2020 ~ 2025,€58M,€72K,1999
J. Koundé,CB,23,84,89,FC Barcelona,2022 ~ 2027,€57.5M,€150K,1926
D. Szoboszlai,CAM,21,79,87,RB Leipzig,2021 ~ 2026,€39.5M,€41K,1990
W. Saliba,CB,21,80,87,Arsenal,2019 ~ 2024,€40M,€58K,1834
C. Chukwuemeka,CM,18,64,86,Chelsea,2022 ~ 2028,€1.9M,€7K,1683
I. McAdoo,CB,26,80,83,AFC Richmond,2018 ~ 2025,€24.5M,€950,1834
I. Bennacer,CDM,24,82,86,AC Milan,2019 ~ 2024,€40M,€63K,2213
T. Malacia,LB,22,79,85,Manchester United,2022 ~ 2026,€26.5M,€86K,2004
M. Mudryk,LM,21,74,84,Shakhtar Donetsk,2018 ~ 2026,€9.5M,€700,1805
Ansu Fati,LW,19,79,90,FC Barcelona,2018 ~ 2027,€38M,€84K,1913
Marquinhos,RM,19,73,86,Arsenal,2022 ~ 2026,€7M,€30K,1706
O. Dembélé,RW,25,83,86,FC Barcelona,2017 ~ 2024,€48M,€180K,2002
Rodrygo,RW,21,81,88,Real Madrid CF,2019 ~ 2028,€52.5M,€130K,1950
J. Gelhardt,ST,20,72,87,Leeds United,2020 ~ 2027,€5.5M,€22K,1768
Richarlison,ST,25,81,84,Tottenham Hotspur,2022 ~ 2027,€34.5M,€105K,2109
Kim Min Jae,CB,25,79,84,Napoli,2022 ~ 2025,€23M,€49K,1763
F. Wirtz,CAM,19,82,91,Bayer 04 Leverkusen,2020 ~ 2027,€66M,€38K,1994
M. Tel,ST,17,64,84,FC Bayern München,2022 ~ 2027,€1.6M,€2K,1632
Neymar Jr,LW,30,89,89,Paris Saint-Germain,2017 ~ 2025,€99.5M,€200K,2157
A. Hakimi,RB,23,84,87,Paris Saint-Germain,2021 ~ 2026,€53.5M,€90K,2229
A. Hložek,CAM,19,77,87,Bayer 04 Leverkusen,2022 ~ 2027,€23M,€27K,1929
Balde,LB,18,68,83,FC Barcelona,2021 ~ 2024,€2.7M,€11K,1596
T. Tomiyasu,RB,23,79,85,Arsenal,2021 ~ 2026,€26M,€65K,1838
Bremer,CB,25,83,87,Juventus,2022 ~ 2027,€45.5M,€115K,1869
R. Cherki,LW,18,73,88,Olympique Lyonnais,2019 ~ 2023,€7M,€19K,1705
Z. Ibrahimović,ST,40,82,82,AC Milan,2020 ~ 2023,€0,€63K,1967
João Félix,CF,22,84,90,Atlético de Madrid,2019 ~ 2026,€68.5M,€78K,2110
F. de Jong,CM,25,87,92,FC Barcelona,2019 ~ 2026,€116.5M,€230K,2238
T. Almada,CAM,21,76,87,Atlanta United,2022 ~ 2025,€17M,€7K,2001
B. Saka,RM,20,82,89,Arsenal,2018 ~ 2024,€60.5M,€76K,2101
Gabriel Martinelli,LM,21,78,88,Arsenal,2019 ~ 2024,€31.5M,€56K,1916
22 A. Güler,CAM,16,66,86,Fenerbahçe SK,2021 ~ 2025,€2.3M,€2K,1720
T. Zoreaux,GK,28,76,77,AFC Richmond,2018 ~ 2024,€6M,€600,1246
G. Scamacca,ST,23,80,86,West Ham United,2022 ~ 2027,€33.5M,€73K,1904
M. Rashford,LW,24,81,85,Manchester United,2014 ~ 2023,€37M,€120K,2072
P. Foden,LW,22,85,92,Manchester City,2016 ~ 2024,€109.5M,€180K,2083
E. Camavinga,CM,19,79,89,Real Madrid CF,2021 ~ 2027,€38M,€78K,2125
B. Johnson,RW,21,75,85,Nottingham Forest,2019 ~ 2026,€12.5M,€43K,1830
G. Raspadori,CF,22,79,86,U.S. Sassuolo Calcio,2019 ~ 2024,€36M,€37K,1869
Gonçalo Inácio,CB,20,79,88,Sporting CP,2019 ~ 2026,€36M,€11K,1773
C. Romero,CB,24,83,88,Tottenham Hotspur,"Jun 30, 2023 On Loan",€49.5M,€55K,1874
